scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
10k,10000,image,data\raw\fashion-dataset\images\10320.jpg,1,2354.436,0.42,7.1016,2.3121,4,0.0,13.7577,13.6249,0.4444,0.0645,1.0,58.587,17.07,1.4336,0.0891,0.4444,0.0645,1.0,594,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\10320.jpg,2,290.471,3.44,5.9375,2.3179,0,0.0,13.7577,13.6249,0.4444,0.0645,1.0,49.845,20.06,2.2344,0.0891,0.4444,0.0645,1.0,594,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\10320.jpg,3,343.194,2.91,6.3281,2.3114,0,0.0,13.7577,13.6249,0.4444,0.0645,1.0,53.729,18.61,0.6289,0.0878,0.4444,0.0645,1.0,594,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11349.jpg,1,846.088,1.18,9.6367,2.3237,0,0.0,13.7577,13.6249,0.8889,0.1053,1.0,61.481,16.27,4.1992,0.1993,0.8889,0.1053,1.0,507,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11349.jpg,2,828.424,1.21,6.1211,2.3244,0,0.0,13.7577,13.6249,0.8889,0.1053,1.0,57.226,17.47,3.6055,0.198,0.8889,0.1053,1.0,507,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11349.jpg,3,814.756,1.23,6.3125,2.3243,0,0.0,13.7577,13.6249,0.8889,0.1053,1.0,58.056,17.22,1.8359,0.197,0.8889,0.1053,1.0,507,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11088.jpg,1,1043.496,0.96,7.2461,2.3246,0,0.0,13.7577,13.6249,0.875,0.0405,0.5,63.307,15.8,5.9141,0.3419,0.875,0.0405,1.0,517,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11088.jpg,2,1121.274,0.89,6.5664,2.3195,0,0.0,13.7577,13.6249,0.875,0.0405,0.5,62.058,16.11,7.1602,0.3421,0.875,0.0405,1.0,517,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11088.jpg,3,1114.182,0.9,9.1055,2.3184,0,0.0,13.7577,13.6249,0.875,0.0405,0.5,61.979,16.13,-2.8867,0.3416,0.875,0.0405,1.0,517,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\10033.jpg,1,316.172,3.16,3.7383,2.2965,0,0.0,13.7577,13.6249,0.0,0.0,1.0,50.201,19.92,5.3828,0.0825,0.0,0.0,1.0,352,0,,,,,,,,0.9
10k,10000,image,data\raw\fashion-dataset\images\10033.jpg,2,315.76,3.17,4.0273,2.2965,0,0.0,13.7577,13.6249,0.0,0.0,1.0,54.787,18.25,5.2773,0.083,0.0,0.0,1.0,352,0,,,,,,,,0.9
10k,10000,image,data\raw\fashion-dataset\images\10033.jpg,3,327.883,3.05,3.9023,2.2965,0,0.0,13.7577,13.6249,0.0,0.0,1.0,44.989,22.23,0.1523,0.1175,0.0,0.0,1.0,352,0,,,,,,,,0.9
10k,10000,image,data\raw\fashion-dataset\images\11105.jpg,1,696.107,1.44,8.5,2.3158,0,0.0,13.7577,13.6249,0.2222,0.0116,0.5,57.975,17.25,5.3125,0.1177,0.2222,0.0116,1.0,288,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11105.jpg,2,630.473,1.59,4.7852,2.3158,0,0.0,13.7577,13.6249,0.2222,0.0116,0.5,51.199,19.53,0.0234,0.1175,0.2222,0.0116,1.0,288,0,,,,,,,,1.0
10k,10000,image,data\raw\fashion-dataset\images\11105.jpg,3,678.67,1.47,5.0195,2.316,0,0.0,13.7577,13.6249,0.2222,0.0116,0.5,52.391,19.09,-4.7695,0.118,0.2222,0.0116,1.0,288,0,,,,,,,,1.0
