scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
10k,10000,audio,data\raw\fma_small\001\001701.mp3,1,0.264,3789.31,0.0469,0.049,0,0.0,0.3637,0.0909,0.4444,0.0284,1.0,16.71,59.84,0.0273,0.0618,0.3333,0.0213,1.0,413,0,,,,,,,,0.8
10k,10000,audio,data\raw\fma_small\001\001701.mp3,2,0.299,3340.01,0.0273,0.049,0,0.0,0.3637,0.0909,0.4444,0.0284,1.0,11.766,84.99,0.0,0.0625,0.3333,0.0213,1.0,413,0,,,,,,,,0.8
10k,10000,audio,data\raw\fma_small\001\001701.mp3,3,0.273,3664.35,0.0039,0.049,0,0.0,0.3637,0.0909,0.4444,0.0284,1.0,9.72,102.88,0.0,0.061,0.3333,0.0213,1.0,413,0,,,,,,,,0.8
10k,10000,audio,data\raw\fma_small\004\004236.mp3,1,1.399,715.0,0.0195,0.044,0,0.0,0.3637,0.0909,0.1111,0.01,1.0,13.405,74.6,0.0,0.0632,0.1111,0.01,1.0,300,0,,,,,,,,0.6
10k,10000,audio,data\raw\fma_small\004\004236.mp3,2,0.364,2746.5,0.0234,0.044,0,0.0,0.3637,0.0909,0.1111,0.01,1.0,10.169,98.34,0.0,0.061,0.1111,0.01,1.0,300,0,,,,,,,,0.6
10k,10000,audio,data\raw\fma_small\004\004236.mp3,3,0.274,3656.31,0.0,0.044,0,0.0,0.3637,0.0909,0.1111,0.01,1.0,10.331,96.79,-0.0039,0.0611,0.1111,0.01,1.0,300,0,,,,,,,,0.6
10k,10000,audio,data\raw\fma_small\010\010441.mp3,1,0.458,2183.41,0.0,0.0815,0,0.0,0.3637,0.0909,0.3333,0.0213,1.0,8.724,114.62,0.0,0.061,0.4444,0.0284,1.0,308,0,,,,,,,,0.7
10k,10000,audio,data\raw\fma_small\010\010441.mp3,2,0.541,1848.09,0.0,0.0815,0,0.0,0.3637,0.0909,0.3333,0.0213,1.0,9.101,109.88,0.0,0.0607,0.4444,0.0284,1.0,308,0,,,,,,,,0.7
10k,10000,audio,data\raw\fma_small\010\010441.mp3,3,0.517,1935.73,0.0,0.0815,0,0.0,0.3637,0.0909,0.3333,0.0213,1.0,9.755,102.51,0.0,0.0606,0.4444,0.0284,1.0,308,0,,,,,,,,0.7
10k,10000,audio,data\raw\fma_small\001\001681.mp3,1,0.476,2102.61,0.0,0.0752,0,0.0,0.3637,0.0909,0.3333,0.03,1.0,8.591,116.41,0.0,0.0607,0.2222,0.02,1.0,313,0,,,,,,,,0.5
10k,10000,audio,data\raw\fma_small\001\001681.mp3,2,0.916,1091.35,0.0,0.0752,0,0.0,0.3637,0.0909,0.3333,0.03,1.0,13.509,74.03,0.0,0.0608,0.2222,0.02,1.0,313,0,,,,,,,,0.5
10k,10000,audio,data\raw\fma_small\001\001681.mp3,3,0.549,1822.82,0.0,0.0752,0,0.0,0.3637,0.0909,0.3333,0.03,1.0,12.891,77.57,0.0,0.096,0.2222,0.02,1.0,313,0,,,,,,,,0.5
10k,10000,audio,data\raw\fma_small\001\001259.mp3,1,0.454,2200.7,0.0,0.0764,0,0.0,0.3637,0.0909,0.1111,0.012,1.0,10.054,99.46,0.0,0.0607,0.1111,0.012,1.0,304,0,,,,,,,,0.6
10k,10000,audio,data\raw\fma_small\001\001259.mp3,2,0.447,2238.14,0.0,0.0764,0,0.0,0.3637,0.0909,0.1111,0.012,1.0,9.032,110.72,0.0,0.0608,0.1111,0.012,1.0,304,0,,,,,,,,0.6
10k,10000,audio,data\raw\fma_small\001\001259.mp3,3,0.529,1891.07,0.0,0.0764,0,0.0,0.3637,0.0909,0.1111,0.012,1.0,9.535,104.88,-0.0039,0.0608,0.1111,0.012,1.0,304,0,,,,,,,,0.6
