scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_precision,lado_a_recall,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_io_shared_hit,lado_b_io_shared_read,overlap_at_k
10k,10000,audio,data\raw\fma_small\000\000716.mp3,1,1.619,617.7,0.0547,0.0497,0.3333,0.0213,131.322,7.61,0.0234,0.1094,0.6667,0.0426,1429,0,0.3
10k,10000,audio,data\raw\fma_small\000\000716.mp3,2,1.883,531.04,0.0039,0.0497,0.3333,0.0213,127.865,7.82,0.0039,0.1102,0.6667,0.0426,1429,0,0.3
10k,10000,audio,data\raw\fma_small\000\000716.mp3,3,1.433,697.93,0.0195,0.0497,0.3333,0.0213,121.662,8.22,0.0039,0.1091,0.6667,0.0426,1429,0,0.3
10k,10000,audio,data\raw\fma_small\006\006610.mp3,1,1.785,560.13,0.0078,0.0537,0.0,0.0,104.229,9.59,0.0,0.1131,0.0,0.0,1429,0,0.1
10k,10000,audio,data\raw\fma_small\006\006610.mp3,2,1.724,579.95,0.0312,0.0537,0.0,0.0,107.335,9.32,0.0039,0.1107,0.0,0.0,1429,0,0.1
10k,10000,audio,data\raw\fma_small\006\006610.mp3,3,1.624,615.73,0.0,0.0537,0.0,0.0,144.013,6.94,0.0,0.1109,0.0,0.0,1429,0,0.1
10k,10000,audio,data\raw\fma_small\004\004782.mp3,1,1.473,679.07,0.0,0.054,0.8889,0.093,112.075,8.92,0.0,0.1099,0.4,0.0465,1429,0,0.1
10k,10000,audio,data\raw\fma_small\004\004782.mp3,2,1.375,727.38,0.0,0.054,0.8889,0.093,105.697,9.46,0.0,0.1098,0.4,0.0465,1429,0,0.1
10k,10000,audio,data\raw\fma_small\004\004782.mp3,3,1.428,700.48,0.0,0.054,0.8889,0.093,105.709,9.46,0.0,0.1099,0.4,0.0465,1429,0,0.1
10k,10000,audio,data\raw\fma_small\004\004096.mp3,1,2.025,493.9,0.0,0.0536,0.6667,0.06,106.707,9.37,0.0,0.1101,0.0,0.0,1429,0,0.1
10k,10000,audio,data\raw\fma_small\004\004096.mp3,2,2.073,482.3,0.0,0.0536,0.6667,0.06,110.987,9.01,0.0,0.1101,0.0,0.0,1429,0,0.1
10k,10000,audio,data\raw\fma_small\004\004096.mp3,3,2.651,377.26,0.0,0.0536,0.6667,0.06,121.447,8.23,0.0,0.1453,0.0,0.0,1429,0,0.1
10k,10000,audio,data\raw\fma_small\003\003840.mp3,1,1.473,679.12,0.0,0.0498,0.4444,0.0465,112.939,8.85,0.0,0.1087,0.6667,0.0698,1429,0,0.5
10k,10000,audio,data\raw\fma_small\003\003840.mp3,2,1.23,813.21,0.0,0.0498,0.4444,0.0465,118.504,8.44,0.0,0.1087,0.6667,0.0698,1429,0,0.5
10k,10000,audio,data\raw\fma_small\003\003840.mp3,3,1.148,871.31,0.0,0.0498,0.4444,0.0465,108.942,9.18,0.0,0.1088,0.6667,0.0698,1429,0,0.5
