scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
10k,10000,audio,data\raw\fma_small\001\001039.mp3,1,0.832,1202.65,0.0352,0.0475,0,0.0,0.3637,0.0909,0.7778,0.0814,1.0,12.414,80.56,0.0312,0.0618,0.4444,0.0465,1.0,317,0,,,,,,,,0.7
10k,10000,audio,data\raw\fma_small\001\001039.mp3,2,0.746,1341.2,0.0039,0.0475,0,0.0,0.3637,0.0909,0.7778,0.0814,1.0,7.108,140.69,0.0039,0.0624,0.4444,0.0465,1.0,317,0,,,,,,,,0.7
10k,10000,audio,data\raw\fma_small\001\001039.mp3,3,0.88,1136.62,0.0,0.0475,0,0.0,0.3637,0.0909,0.7778,0.0814,1.0,9.356,106.88,0.0039,0.0611,0.4444,0.0465,1.0,317,0,,,,,,,,0.7
10k,10000,audio,data\raw\fma_small\006\006383.mp3,1,1.778,562.52,0.0312,0.0497,0,0.0,0.3637,0.0909,0.3333,0.03,1.0,7.564,132.2,0.0,0.0632,0.6667,0.06,1.0,277,0,,,,,,,,0.5
10k,10000,audio,data\raw\fma_small\006\006383.mp3,2,1.78,561.92,0.0234,0.0497,0,0.0,0.3637,0.0909,0.3333,0.03,1.0,7.841,127.53,0.0,0.061,0.6667,0.06,1.0,277,0,,,,,,,,0.5
10k,10000,audio,data\raw\fma_small\006\006383.mp3,3,1.864,536.39,0.0,0.0497,0,0.0,0.3637,0.0909,0.3333,0.03,1.0,7.124,140.36,0.0,0.0611,0.6667,0.06,1.0,277,0,,,,,,,,0.5
10k,10000,audio,data\raw\fma_small\004\004521.mp3,1,1.668,599.63,0.0,0.054,0,0.0,0.3637,0.0909,0.0,0.0,1.0,7.291,137.15,0.0,0.061,0.0,0.0,1.0,325,0,,,,,,,,0.5
10k,10000,audio,data\raw\fma_small\004\004521.mp3,2,1.639,609.94,0.0,0.054,0,0.0,0.3637,0.0909,0.0,0.0,1.0,7.515,133.06,0.0,0.0608,0.0,0.0,1.0,325,0,,,,,,,,0.5
10k,10000,audio,data\raw\fma_small\004\004521.mp3,3,1.681,594.71,0.0,0.054,0,0.0,0.3637,0.0909,0.0,0.0,1.0,7.888,126.77,0.0,0.0608,0.0,0.0,1.0,325,0,,,,,,,,0.5
10k,10000,audio,data\raw\fma_small\011\011333.mp3,1,2.04,490.29,0.0,0.0501,0,0.0,0.3637,0.0909,0.2222,0.0241,1.0,8.723,114.63,0.0,0.0609,0.1111,0.012,1.0,338,0,,,,,,,,0.8
10k,10000,audio,data\raw\fma_small\011\011333.mp3,2,1.734,576.63,0.0,0.0501,0,0.0,0.3637,0.0909,0.2222,0.0241,1.0,7.786,128.43,0.0,0.0606,0.1111,0.012,1.0,338,0,,,,,,,,0.8
10k,10000,audio,data\raw\fma_small\011\011333.mp3,3,2.195,455.54,0.0,0.0501,0,0.0,0.3637,0.0909,0.2222,0.0241,1.0,7.992,125.12,0.0,0.096,0.1111,0.012,1.0,338,0,,,,,,,,0.8
10k,10000,audio,data\raw\fma_small\007\007376.mp3,1,1.177,849.91,0.0,0.0541,0,0.0,0.3637,0.0909,0.0,0.0,1.0,7.512,133.12,0.0,0.0607,0.0,0.0,1.0,383,0,,,,,,,,0.6
10k,10000,audio,data\raw\fma_small\007\007376.mp3,2,1.263,791.51,0.0,0.0541,0,0.0,0.3637,0.0909,0.0,0.0,1.0,6.917,144.57,0.0,0.0608,0.0,0.0,1.0,383,0,,,,,,,,0.6
10k,10000,audio,data\raw\fma_small\007\007376.mp3,3,1.15,869.49,0.0,0.0541,0,0.0,0.3637,0.0909,0.0,0.0,1.0,6.768,147.74,0.0,0.0606,0.0,0.0,1.0,383,0,,,,,,,,0.6
