scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
10k,10000,audio,data\raw\fma_small\010\010527.mp3,1,1.449,690.13,0.0469,0.0538,0,0.0,0.3637,0.0909,0.3333,0.0361,1.0,24.22,41.29,0.0391,0.1107,0.0,0.0,0.0,224,0,,,,,,,,0.1
10k,10000,audio,data\raw\fma_small\010\010527.mp3,2,1.279,781.8,0.0156,0.0538,0,0.0,0.3637,0.0909,0.3333,0.0361,1.0,19.852,50.37,0.0039,0.1113,0.0,0.0,0.0,224,0,,,,,,,,0.1
10k,10000,audio,data\raw\fma_small\010\010527.mp3,3,1.446,691.47,0.0,0.0538,0,0.0,0.3637,0.0909,0.3333,0.0361,1.0,19.43,51.47,0.0078,0.1102,0.0,0.0,0.0,224,0,,,,,,,,0.1
10k,10000,audio,data\raw\fma_small\009\009511.mp3,1,0.647,1546.55,0.0,0.0443,0,0.0,0.3637,0.0909,0.2222,0.0233,1.0,20.402,49.02,0.0,0.1051,0.5,0.0581,0.0,239,0,,,,,,,,0.1
10k,10000,audio,data\raw\fma_small\009\009511.mp3,2,0.685,1460.07,0.0,0.0443,0,0.0,0.3637,0.0909,0.2222,0.0233,1.0,18.706,53.46,0.0078,0.1031,0.5,0.0581,0.0,239,0,,,,,,,,0.1
10k,10000,audio,data\raw\fma_small\009\009511.mp3,3,0.647,1546.31,0.0,0.0443,0,0.0,0.3637,0.0909,0.2222,0.0233,1.0,18.644,53.64,0.0,0.1033,0.5,0.0581,0.0,239,0,,,,,,,,0.1
10k,10000,audio,data\raw\fma_small\001\001196.mp3,1,2.046,488.83,0.0,0.05,0,0.0,0.3637,0.0909,0.2222,0.0142,1.0,20.47,48.85,0.0,0.1108,0.3,0.0213,0.0,224,0,,,,,,,,0.1
10k,10000,audio,data\raw\fma_small\001\001196.mp3,2,2.056,486.48,0.0,0.05,0,0.0,0.3637,0.0909,0.2222,0.0142,1.0,20.162,49.6,0.0,0.1107,0.3,0.0213,0.0,224,0,,,,,,,,0.1
10k,10000,audio,data\raw\fma_small\001\001196.mp3,3,2.388,418.74,0.0,0.05,0,0.0,0.3637,0.0909,0.2222,0.0142,1.0,20.514,48.75,0.0,0.1106,0.3,0.0213,0.0,224,0,,,,,,,,0.1
10k,10000,audio,data\raw\fma_small\010\010674.mp3,1,1.09,917.77,0.0,0.0492,0,0.0,0.3637,0.0909,0.1111,0.0116,1.0,20.749,48.2,0.0,0.1063,0.3,0.0349,0.0,224,0,,,,,,,,0.3
10k,10000,audio,data\raw\fma_small\010\010674.mp3,2,2.166,461.62,0.0,0.0492,0,0.0,0.3637,0.0909,0.1111,0.0116,1.0,24.756,40.39,0.0,0.1065,0.3,0.0349,0.0,224,0,,,,,,,,0.3
10k,10000,audio,data\raw\fma_small\010\010674.mp3,3,1.341,745.77,0.0,0.0492,0,0.0,0.3637,0.0909,0.1111,0.0116,1.0,20.162,49.6,0.0,0.1417,0.3,0.0349,0.0,224,0,,,,,,,,0.3
10k,10000,audio,data\raw\fma_small\007\007488.mp3,1,1.698,589.0,0.0039,0.0537,0,0.0,0.3637,0.0909,0.0,0.0,1.0,18.868,53.0,0.0,0.1111,0.1111,0.0233,0.125,224,0,,,,,,,,0.4
10k,10000,audio,data\raw\fma_small\007\007488.mp3,2,1.595,627.16,0.0039,0.0537,0,0.0,0.3637,0.0909,0.0,0.0,1.0,25.878,38.64,0.0,0.1111,0.1111,0.0233,0.125,224,0,,,,,,,,0.4
10k,10000,audio,data\raw\fma_small\007\007488.mp3,3,2.447,408.66,0.0039,0.0537,0,0.0,0.3637,0.0909,0.0,0.0,1.0,23.426,42.69,0.0,0.1111,0.1111,0.0233,0.125,224,0,,,,,,,,0.4
