scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
1k,1000,audio,data\raw\fma_small\000\000707.mp3,1,0.611,1637.73,0.0273,0.0432,0,0.0,0.2839,0.0111,0.3333,0.4286,1.0,23.113,43.27,0.0273,0.103,0.3333,0.4286,0.5,146,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000707.mp3,2,0.542,1843.66,0.0,0.0432,0,0.0,0.2839,0.0111,0.3333,0.4286,1.0,21.902,45.66,0.0117,0.1037,0.3333,0.4286,0.5,146,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000707.mp3,3,0.583,1716.15,0.0,0.0432,0,0.0,0.2839,0.0111,0.3333,0.4286,1.0,21.69,46.1,0.0078,0.1025,0.3333,0.4286,0.5,146,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000695.mp3,1,0.505,1978.63,0.0039,0.0432,0,0.0,0.2839,0.0111,0.3333,0.75,1.0,19.994,50.01,0.0039,0.1054,0.3333,0.75,1.0,149,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000695.mp3,2,0.532,1878.64,0.0,0.0432,0,0.0,0.2839,0.0111,0.3333,0.75,1.0,19.968,50.08,0.0078,0.1033,0.3333,0.75,1.0,149,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000695.mp3,3,0.539,1854.94,0.0,0.0432,0,0.0,0.2839,0.0111,0.3333,0.75,1.0,20.018,49.95,0.0039,0.1034,0.3333,0.75,1.0,149,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000621.mp3,1,0.639,1566.17,0.0039,0.0432,0,0.0,0.2839,0.0111,0.6667,0.2609,1.0,19.625,50.95,0.0078,0.1035,0.5556,0.2174,1.0,147,0,,,,,,,,0.5
1k,1000,audio,data\raw\fma_small\000\000621.mp3,2,0.535,1869.51,0.0,0.0432,0,0.0,0.2839,0.0111,0.6667,0.2609,1.0,20.167,49.59,0.0117,0.1034,0.5556,0.2174,1.0,147,0,,,,,,,,0.5
1k,1000,audio,data\raw\fma_small\000\000621.mp3,3,0.613,1630.79,0.0,0.0432,0,0.0,0.2839,0.0111,0.6667,0.2609,1.0,20.332,49.18,0.0,0.1035,0.5556,0.2174,1.0,147,0,,,,,,,,0.5
1k,1000,audio,data\raw\fma_small\000\000715.mp3,1,0.436,2292.0,0.0,0.0428,0,0.0,0.2839,0.0111,0.6667,0.2609,0.25,19.717,50.72,0.0039,0.1028,0.3333,0.1304,0.5,147,0,,,,,,,,0.5
1k,1000,audio,data\raw\fma_small\000\000715.mp3,2,0.496,2016.13,0.0,0.0428,0,0.0,0.2839,0.0111,0.6667,0.2609,0.25,19.668,50.84,0.0039,0.1028,0.3333,0.1304,0.5,147,0,,,,,,,,0.5
1k,1000,audio,data\raw\fma_small\000\000715.mp3,3,0.517,1934.24,0.0,0.0428,0,0.0,0.2839,0.0111,0.6667,0.2609,0.25,19.975,50.06,0.0039,0.1379,0.3333,0.1304,0.5,147,0,,,,,,,,0.5
1k,1000,audio,data\raw\fma_small\000\000709.mp3,1,0.523,1912.78,0.0,0.0432,0,0.0,0.2839,0.0111,0.0,0.0,0.0,20.776,48.13,0.0,0.1035,0.0,0.0,0.0,147,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000709.mp3,2,0.788,1268.87,0.0039,0.0432,0,0.0,0.2839,0.0111,0.0,0.0,0.0,21.538,46.43,0.0078,0.1037,0.0,0.0,0.0,147,0,,,,,,,,0.9
1k,1000,audio,data\raw\fma_small\000\000709.mp3,3,0.497,2011.26,0.0,0.0432,0,0.0,0.2839,0.0111,0.0,0.0,0.0,21.793,45.89,0.0078,0.1034,0.0,0.0,0.0,147,0,,,,,,,,0.9
