scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
1k,1000,image,data\raw\fashion-dataset\images\10005.jpg,1,2116.832,0.47,-0.043,0.231,4,0.0,1.1923,1.0595,0.4444,0.0769,0.5,56.333,17.75,0.2461,0.0818,0.4444,0.0769,0.5,240,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10005.jpg,2,52.85,18.92,2.6836,0.2301,0,0.0,1.1923,1.0595,0.4444,0.0769,0.5,49.64,20.15,4.4258,0.082,0.4444,0.0769,0.5,240,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10005.jpg,3,53.767,18.6,3.0625,0.2297,0,0.0,1.1923,1.0595,0.4444,0.0769,0.5,47.704,20.96,5.0859,0.0801,0.4444,0.0769,0.5,240,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10003.jpg,1,43.15,23.17,5.2617,0.2232,0,0.0,1.1923,1.0595,0.8889,0.1538,1.0,47.22,21.18,0.1055,0.0744,0.8889,0.1538,1.0,188,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10003.jpg,2,45.287,22.08,5.1953,0.2233,0,0.0,1.1923,1.0595,0.8889,0.1538,1.0,44.882,22.28,0.0352,0.0722,0.8889,0.1538,1.0,188,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10003.jpg,3,41.579,24.05,5.0547,0.2235,0,0.0,1.1923,1.0595,0.8889,0.1538,1.0,50.149,19.94,-0.6562,0.0722,0.8889,0.1538,1.0,188,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10083.jpg,1,31.485,31.76,5.6484,0.2364,0,0.0,1.1923,1.0595,0.0,,0.0,28.842,34.67,4.875,0.0957,0.0,,0.0,188,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10083.jpg,2,31.915,31.33,4.8633,0.2364,0,0.0,1.1923,1.0595,0.0,,0.0,26.343,37.96,0.2148,0.0953,0.0,,0.0,188,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10083.jpg,3,39.75,25.16,-2.6406,0.2364,0,0.0,1.1923,1.0595,0.0,,0.0,26.514,37.72,0.582,0.0954,0.0,,0.0,188,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10024.jpg,1,74.749,13.38,5.875,0.2382,0,0.0,1.1923,1.0595,0.7778,0.1346,1.0,55.456,18.03,0.5664,0.1199,0.7778,0.1346,1.0,533,0,,,,,,,,0.9
1k,1000,image,data\raw\fashion-dataset\images\10024.jpg,2,73.688,13.57,6.1484,0.238,0,0.0,1.1923,1.0595,0.7778,0.1346,1.0,54.437,18.37,0.5586,0.1199,0.7778,0.1346,1.0,533,0,,,,,,,,0.9
1k,1000,image,data\raw\fashion-dataset\images\10024.jpg,3,72.97,13.7,6.625,0.2379,0,0.0,1.1923,1.0595,0.7778,0.1346,1.0,59.47,16.82,-0.4766,0.1552,0.7778,0.1346,1.0,533,0,,,,,,,,0.9
1k,1000,image,data\raw\fashion-dataset\images\10025.jpg,1,46.485,21.51,5.3438,0.2268,0,0.0,1.1923,1.0595,0.7778,0.1346,1.0,46.346,21.58,0.0195,0.0722,0.7778,0.1346,1.0,181,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10025.jpg,2,44.096,22.68,5.2891,0.2268,0,0.0,1.1923,1.0595,0.7778,0.1346,1.0,50.006,20.0,5.2031,0.0723,0.7778,0.1346,1.0,181,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10025.jpg,3,45.134,22.16,5.2109,0.2268,0,0.0,1.1923,1.0595,0.7778,0.1346,1.0,51.984,19.24,0.0273,0.0721,0.7778,0.1346,1.0,181,0,,,,,,,,1.0
