scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
1k,1000,image,data\raw\fashion-dataset\images\10031.jpg,1,2179.995,0.46,6.0977,0.2317,4,0.0,1.1923,1.0595,0.4444,0.0769,1.0,62.55,15.99,-0.1406,0.154,0.4444,0.0769,1.0,389,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10031.jpg,2,72.65,13.76,3.1328,0.2317,0,0.0,1.1923,1.0595,0.4444,0.0769,1.0,61.631,16.23,0.0664,0.1556,0.4444,0.0769,1.0,389,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10031.jpg,3,72.13,13.86,4.1016,0.2311,0,0.0,1.1923,1.0595,0.4444,0.0769,1.0,66.724,14.99,4.6797,0.1537,0.4444,0.0769,1.0,389,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10010.jpg,1,72.339,13.82,3.543,0.2262,0,0.0,1.1923,1.0595,0.2857,0.0385,1.0,55.609,17.98,4.4883,0.1304,0.2857,0.0385,1.0,367,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10010.jpg,2,76.312,13.1,3.7656,0.2262,0,0.0,1.1923,1.0595,0.2857,0.0385,1.0,55.94,17.88,-0.2812,0.1284,0.2857,0.0385,1.0,367,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10010.jpg,3,66.697,14.99,0.0938,0.2258,0,0.0,1.1923,1.0595,0.2857,0.0385,1.0,60.587,16.51,-0.3477,0.1285,0.2857,0.0385,1.0,367,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10015.jpg,1,73.304,13.64,5.2617,0.2379,0,0.0,1.1923,1.0595,0.6667,0.1154,1.0,46.527,21.49,0.1328,0.1231,0.6667,0.1154,1.0,249,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10015.jpg,2,80.749,12.38,5.0664,0.2376,0,0.0,1.1923,1.0595,0.6667,0.1154,1.0,48.835,20.48,1.0781,0.1233,0.6667,0.1154,1.0,249,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10015.jpg,3,78.192,12.79,3.7734,0.2377,0,0.0,1.1923,1.0595,0.6667,0.1154,1.0,46.863,21.34,-0.1836,0.1233,0.6667,0.1154,1.0,249,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10030.jpg,1,50.15,19.94,6.3203,0.2323,0,0.0,1.1923,1.0595,0.4444,0.0769,1.0,49.333,20.27,0.0,0.0867,0.4444,0.0769,1.0,312,0,,,,,,,,0.9
1k,1000,image,data\raw\fashion-dataset\images\10030.jpg,2,57.733,17.32,3.7188,0.2329,0,0.0,1.1923,1.0595,0.4444,0.0769,1.0,46.22,21.64,0.2031,0.0867,0.4444,0.0769,1.0,312,0,,,,,,,,0.9
1k,1000,image,data\raw\fashion-dataset\images\10030.jpg,3,49.639,20.15,2.625,0.2324,0,0.0,1.1923,1.0595,0.4444,0.0769,1.0,46.613,21.45,0.2461,0.122,0.4444,0.0769,1.0,312,0,,,,,,,,0.9
1k,1000,image,data\raw\fashion-dataset\images\10013.jpg,1,64.932,15.4,2.8164,0.2384,0,0.0,1.1923,1.0595,0.8889,0.1538,1.0,54.727,18.27,-0.2266,0.1447,0.8889,0.1538,1.0,191,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10013.jpg,2,65.435,15.28,3.1328,0.2382,0,0.0,1.1923,1.0595,0.8889,0.1538,1.0,56.122,17.82,0.8359,0.1454,0.8889,0.1538,1.0,191,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10013.jpg,3,72.237,13.84,-2.7578,0.2383,0,0.0,1.1923,1.0595,0.8889,0.1538,1.0,55.386,18.06,-1.7422,0.1448,0.8889,0.1538,1.0,191,0,,,,,,,,1.0
