scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
1k,1000,image,data\raw\fashion-dataset\images\10004.jpg,1,2255.078,0.44,6.1172,0.2266,4,0.0,1.192,1.0592,0.2222,0.4,1.0,61.689,16.21,4.7422,0.0758,0.2222,0.4,1.0,338,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10004.jpg,2,46.011,21.73,2.1602,0.2269,0,0.0,1.192,1.0592,0.2222,0.4,1.0,51.918,19.26,4.4258,0.0767,0.2222,0.4,1.0,338,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10004.jpg,3,48.937,20.43,2.2891,0.2266,0,0.0,1.192,1.0592,0.2222,0.4,1.0,50.16,19.94,4.9766,0.0755,0.2222,0.4,1.0,338,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10063.jpg,1,71.576,13.97,4.8828,0.2376,0,0.0,1.192,1.0592,1.0,0.1731,1.0,46.628,21.45,4.4375,0.1441,1.0,0.1731,1.0,372,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10063.jpg,2,106.07,9.43,3.9609,0.2376,0,0.0,1.192,1.0592,1.0,0.1731,1.0,49.34,20.27,0.6445,0.1417,1.0,0.1731,1.0,372,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10063.jpg,3,72.134,13.86,5.1914,0.2376,0,0.0,1.192,1.0592,1.0,0.1731,1.0,41.455,24.12,0.5781,0.1418,1.0,0.1731,1.0,372,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10002.jpg,1,72.33,13.83,4.9961,0.2369,0,0.0,1.192,1.0592,0.0,0.0,1.0,53.394,18.73,1.3906,0.1368,0.0,0.0,1.0,310,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10002.jpg,2,76.778,13.02,4.9531,0.2373,0,0.0,1.192,1.0592,0.0,0.0,1.0,60.139,16.63,0.6953,0.1361,0.0,0.0,1.0,310,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10002.jpg,3,68.686,14.56,5.0156,0.2366,0,0.0,1.192,1.0592,0.0,0.0,1.0,58.14,17.2,-1.9258,0.1364,0.0,0.0,1.0,310,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10089.jpg,1,60.287,16.59,1.7773,0.2374,0,0.0,1.192,1.0592,0.6667,0.25,1.0,42.484,23.54,0.9961,0.1064,0.6667,0.25,1.0,320,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10089.jpg,2,56.755,17.62,1.0547,0.2373,0,0.0,1.192,1.0592,0.6667,0.25,1.0,38.751,25.81,0.0234,0.1063,0.6667,0.25,1.0,320,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10089.jpg,3,61.655,16.22,-1.9102,0.2374,0,0.0,1.192,1.0592,0.6667,0.25,1.0,36.902,27.1,2.0547,0.1417,0.6667,0.25,1.0,320,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10081.jpg,1,106.625,9.38,-1.5547,0.2383,0,0.0,1.192,1.0592,0.5556,0.2083,1.0,58.806,17.01,0.0469,0.221,0.5556,0.2083,1.0,322,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10081.jpg,2,102.714,9.74,-2.9648,0.2384,0,0.0,1.192,1.0592,0.5556,0.2083,1.0,49.874,20.05,-2.1289,0.2211,0.5556,0.2083,1.0,322,0,,,,,,,,1.0
1k,1000,image,data\raw\fashion-dataset\images\10081.jpg,3,95.404,10.48,-3.4297,0.2384,0,0.0,1.192,1.0592,0.5556,0.2083,1.0,49.256,20.3,-3.0195,0.2209,0.5556,0.2083,1.0,322,0,,,,,,,,1.0
