scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_precision,lado_a_recall,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_io_shared_hit,lado_b_io_shared_read,overlap_at_k
1k,1000,audio,data\raw\fma_small\000\000706.mp3,1,0.635,1574.06,0.0195,0.0428,0.4444,0.5714,28.352,35.27,0.0352,0.102,0.4444,0.5714,143,0,1.0
1k,1000,audio,data\raw\fma_small\000\000706.mp3,2,0.48,2081.17,0.0,0.0428,0.4444,0.5714,24.174,41.37,0.0078,0.102,0.4444,0.5714,143,0,1.0
1k,1000,audio,data\raw\fma_small\000\000706.mp3,3,0.681,1467.78,0.0,0.0428,0.4444,0.5714,26.253,38.09,0.0156,0.1009,0.4444,0.5714,143,0,1.0
1k,1000,audio,data\raw\fma_small\000\000620.mp3,1,0.473,2112.38,0.0039,0.0431,0.6667,0.2609,26.073,38.35,0.0039,0.1043,0.6667,0.2609,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000620.mp3,2,0.656,1525.32,0.0,0.0431,0.6667,0.2609,27.484,36.39,0.0039,0.1022,0.6667,0.2609,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000620.mp3,3,0.513,1950.84,0.0,0.0431,0.6667,0.2609,27.741,36.05,0.0039,0.1022,0.6667,0.2609,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000704.mp3,1,0.714,1399.97,0.0,0.0428,0.4444,0.5714,27.226,36.73,0.0039,0.1012,0.4444,0.5714,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000704.mp3,2,0.513,1947.8,0.0039,0.0428,0.4444,0.5714,25.931,38.56,0.0078,0.1011,0.4444,0.5714,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000704.mp3,3,0.744,1344.63,0.0,0.0428,0.4444,0.5714,24.545,40.74,0.0,0.1012,0.4444,0.5714,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000540.mp3,1,0.696,1437.4,0.0,0.0431,0.8889,0.3478,24.706,40.48,0.0039,0.1018,0.7778,0.3043,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000540.mp3,2,0.8,1250.0,0.0039,0.0431,0.8889,0.3478,26.161,38.22,0.0039,0.1019,0.7778,0.3043,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000540.mp3,3,0.529,1889.64,0.0,0.0431,0.8889,0.3478,27.174,36.8,0.0039,0.1371,0.7778,0.3043,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000705.mp3,1,0.545,1834.86,0.0,0.0428,0.3333,0.4286,24.663,40.55,0.0,0.101,0.4444,0.5714,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000705.mp3,2,0.746,1340.48,0.0,0.0428,0.3333,0.4286,27.692,36.11,0.0039,0.101,0.4444,0.5714,143,0,0.9
1k,1000,audio,data\raw\fma_small\000\000705.mp3,3,0.507,1972.39,0.0039,0.0428,0.3333,0.4286,25.649,38.99,0.0039,0.101,0.4444,0.5714,143,0,0.9
