scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
1k,1000,audio,data\raw\fma_small\000\000212.mp3,1,0.558,1793.08,0.0273,0.0431,0,0.0,0.2839,0.0111,0.7778,0.3043,1.0,25.81,38.74,0.0352,0.104,0.7778,0.3043,1.0,150,0,,,,,,,,0.7
1k,1000,audio,data\raw\fma_small\000\000212.mp3,2,0.45,2219.76,0.0,0.0431,0,0.0,0.2839,0.0111,0.7778,0.3043,1.0,21.449,46.62,0.0117,0.1047,0.7778,0.3043,1.0,150,0,,,,,,,,0.7
1k,1000,audio,data\raw\fma_small\000\000212.mp3,3,0.484,2065.26,0.0,0.0431,0,0.0,0.2839,0.0111,0.7778,0.3043,1.0,21.783,45.91,0.0117,0.1035,0.7778,0.3043,1.0,150,0,,,,,,,,0.7
1k,1000,audio,data\raw\fma_small\000\000621.mp3,1,0.567,1764.6,0.0039,0.0432,0,0.0,0.2839,0.0111,0.6667,0.2609,1.0,24.704,40.48,0.0039,0.1058,0.6667,0.2609,1.0,150,0,,,,,,,,0.5
1k,1000,audio,data\raw\fma_small\000\000621.mp3,2,0.87,1149.95,0.0,0.0432,0,0.0,0.2839,0.0111,0.6667,0.2609,1.0,23.889,41.86,0.0039,0.1036,0.6667,0.2609,1.0,150,0,,,,,,,,0.5
1k,1000,audio,data\raw\fma_small\000\000621.mp3,3,0.507,1971.22,0.0,0.0432,0,0.0,0.2839,0.0111,0.6667,0.2609,1.0,21.24,47.08,0.0078,0.1037,0.6667,0.2609,1.0,150,0,,,,,,,,0.5
1k,1000,audio,data\raw\fma_small\000\000625.mp3,1,0.583,1716.15,0.0039,0.0432,0,0.0,0.2839,0.0111,0.4444,0.1739,1.0,22.032,45.39,0.0117,0.1038,0.4444,0.1739,1.0,150,0,,,,,,,,0.8
1k,1000,audio,data\raw\fma_small\000\000625.mp3,2,0.521,1920.49,0.0,0.0432,0,0.0,0.2839,0.0111,0.4444,0.1739,1.0,22.764,43.93,0.0078,0.1039,0.4444,0.1739,1.0,150,0,,,,,,,,0.8
1k,1000,audio,data\raw\fma_small\000\000625.mp3,3,0.565,1768.97,0.0,0.0432,0,0.0,0.2839,0.0111,0.4444,0.1739,1.0,20.537,48.69,0.0039,0.1038,0.4444,0.1739,1.0,150,0,,,,,,,,0.8
1k,1000,audio,data\raw\fma_small\000\000211.mp3,1,0.542,1845.02,0.0,0.0432,0,0.0,0.2839,0.0111,0.6667,0.2609,1.0,22.539,44.37,0.0078,0.1037,0.5556,0.2174,1.0,150,0,,,,,,,,0.6
1k,1000,audio,data\raw\fma_small\000\000211.mp3,2,0.553,1808.65,0.0,0.0432,0,0.0,0.2839,0.0111,0.6667,0.2609,1.0,22.599,44.25,0.0039,0.1036,0.5556,0.2174,1.0,150,0,,,,,,,,0.6
1k,1000,audio,data\raw\fma_small\000\000211.mp3,3,0.545,1833.85,0.0,0.0432,0,0.0,0.2839,0.0111,0.6667,0.2609,1.0,27.384,36.52,0.0078,0.1389,0.5556,0.2174,1.0,150,0,,,,,,,,0.6
1k,1000,audio,data\raw\fma_small\000\000676.mp3,1,0.613,1631.06,0.0,0.0431,0,0.0,0.2839,0.0111,0.4444,1.0,1.0,22.724,44.01,0.0,0.1035,0.4444,1.0,1.0,152,0,,,,,,,,0.8
1k,1000,audio,data\raw\fma_small\000\000676.mp3,2,0.602,1660.85,0.0039,0.0431,0,0.0,0.2839,0.0111,0.4444,1.0,1.0,22.893,43.68,0.0117,0.1035,0.4444,1.0,1.0,152,0,,,,,,,,0.8
1k,1000,audio,data\raw\fma_small\000\000676.mp3,3,0.544,1837.22,0.0,0.0431,0,0.0,0.2839,0.0111,0.4444,1.0,1.0,22.07,45.31,0.0117,0.1034,0.4444,1.0,1.0,152,0,,,,,,,,0.8
