scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
100k,100000,audio,data\raw\fma_small\064\064592.mp3,1,20.047,49.88,0.3008,0.3054,0,0.0,1.1551,0.8823,0.0,0.0,0.0,37.863,26.41,0.0117,0.0618,0.0,0.0,1.0,463,0,,,,,,,,0.0
100k,100000,audio,data\raw\fma_small\064\064592.mp3,2,16.148,61.93,0.0,0.3054,0,0.0,1.1551,0.8823,0.0,0.0,0.0,10.21,97.94,0.0,0.0623,0.0,0.0,1.0,463,0,,,,,,,,0.0
100k,100000,audio,data\raw\fma_small\064\064592.mp3,3,17.417,57.42,0.0,0.3054,0,0.0,1.1551,0.8823,0.0,0.0,0.0,9.743,102.64,0.0,0.0611,0.0,0.0,1.0,463,0,,,,,,,,0.0
100k,100000,audio,data\raw\fma_small\039\039900.mp3,1,2.865,348.99,0.0,0.0541,0,0.0,1.1551,0.8823,0.3333,0.0043,1.0,9.477,105.52,0.0,0.0632,0.4444,0.0058,1.0,415,0,,,,,,,,0.5
100k,100000,audio,data\raw\fma_small\039\039900.mp3,2,3.344,299.03,0.0,0.0541,0,0.0,1.1551,0.8823,0.3333,0.0043,1.0,8.928,112.0,0.0,0.061,0.4444,0.0058,1.0,415,0,,,,,,,,0.5
100k,100000,audio,data\raw\fma_small\039\039900.mp3,3,2.431,411.29,0.0,0.0541,0,0.0,1.1551,0.8823,0.3333,0.0043,1.0,9.133,109.49,0.0,0.0611,0.4444,0.0058,1.0,415,0,,,,,,,,0.5
100k,100000,audio,data\raw\fma_small\087\087099.mp3,1,5.091,196.41,0.0,0.0723,0,0.0,1.1551,0.8823,0.5556,0.0185,0.5,8.877,112.65,0.0,0.0609,0.6667,0.0222,1.0,433,0,,,,,,,,0.2
100k,100000,audio,data\raw\fma_small\087\087099.mp3,2,4.318,231.56,0.0,0.0723,0,0.0,1.1551,0.8823,0.5556,0.0185,0.5,8.886,112.54,0.0,0.0609,0.6667,0.0222,1.0,433,0,,,,,,,,0.2
100k,100000,audio,data\raw\fma_small\087\087099.mp3,3,4.758,210.16,0.0,0.0723,0,0.0,1.1551,0.8823,0.5556,0.0185,0.5,11.02,90.74,0.0,0.0609,0.6667,0.0222,1.0,433,0,,,,,,,,0.2
100k,100000,audio,data\raw\fma_small\044\044794.mp3,1,11.939,83.76,0.0,0.2797,0,0.0,1.1551,0.8823,0.2,0.0029,0.0,9.975,100.25,0.0,0.0607,0.2222,0.0029,1.0,544,0,,,,,,,,0.0
100k,100000,audio,data\raw\fma_small\044\044794.mp3,2,12.308,81.25,0.0,0.2797,0,0.0,1.1551,0.8823,0.2,0.0029,0.0,8.685,115.14,0.0,0.0607,0.2222,0.0029,1.0,544,0,,,,,,,,0.0
100k,100000,audio,data\raw\fma_small\044\044794.mp3,3,14.202,70.41,-0.0039,0.2797,0,0.0,1.1551,0.8823,0.2,0.0029,0.0,9.403,106.35,0.0,0.0958,0.2222,0.0029,1.0,544,0,,,,,,,,0.0
100k,100000,audio,data\raw\fma_small\069\069203.mp3,1,8.326,120.11,0.0,0.3046,0,0.0,1.1551,0.8823,0.0,0.0,0.0,9.101,109.88,0.0,0.0607,0.1111,0.0015,1.0,257,0,,,,,,,,0.5
100k,100000,audio,data\raw\fma_small\069\069203.mp3,2,7.789,128.38,0.0,0.3046,0,0.0,1.1551,0.8823,0.0,0.0,0.0,10.005,99.95,0.0,0.0606,0.1111,0.0015,1.0,257,0,,,,,,,,0.5
100k,100000,audio,data\raw\fma_small\069\069203.mp3,3,7.927,126.15,0.0,0.3046,0,0.0,1.1551,0.8823,0.0,0.0,0.0,8.084,123.7,0.0,0.0606,0.1111,0.0015,1.0,257,0,,,,,,,,0.5
