scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
100k,100000,image,data\raw\fashion-dataset\images\2001.jpg,1,10582.257,0.09,18.5391,21.6262,4,0.0,123.7436,123.6108,0.0,0.0,1.0,97.42,10.26,7.5039,0.1528,0.0,0.0,1.0,514,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\2001.jpg,2,9080.912,0.11,15.1523,21.6192,0,0.0,123.7436,123.6108,0.0,0.0,1.0,66.459,15.05,7.9414,0.1534,0.0,0.0,1.0,514,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\2001.jpg,3,9624.13,0.1,17.6055,21.6191,0,0.0,123.7436,123.6108,0.0,0.0,1.0,60.787,16.45,8.5703,0.1518,0.0,0.0,1.0,514,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\21698.jpg,1,21110.327,0.05,-24.0312,21.6106,0,0.0,123.7436,123.6108,1.0,0.0234,1.0,86.985,11.5,9.0156,0.1668,1.0,0.0234,1.0,640,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\21698.jpg,2,15426.525,0.06,14.5117,21.6107,0,0.0,123.7436,123.6108,1.0,0.0234,1.0,63.115,15.84,8.6523,0.1647,1.0,0.0234,1.0,640,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\21698.jpg,3,14709.791,0.07,14.5469,21.6106,0,0.0,123.7436,123.6108,1.0,0.0234,1.0,59.051,16.93,7.9688,0.1648,1.0,0.0234,1.0,640,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\12180.jpg,1,14374.766,0.07,19.125,21.6215,0,0.0,123.7436,123.6108,0.8889,0.0055,1.0,107.001,9.35,6.6406,0.2536,0.8889,0.0055,1.0,728,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\12180.jpg,2,14348.888,0.07,9.582,21.621,0,0.0,123.7436,123.6108,0.8889,0.0055,1.0,72.475,13.8,2.1523,0.2529,0.8889,0.0055,1.0,728,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\12180.jpg,3,13153.479,0.08,15.1367,21.6213,0,0.0,123.7436,123.6108,0.8889,0.0055,1.0,61.387,16.29,9.0391,0.2528,0.8889,0.0055,1.0,728,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\16427.jpg,1,6139.452,0.16,22.0391,21.5589,0,0.0,123.7436,123.6108,0.1111,0.0005,1.0,156.869,6.37,8.6367,0.1197,0.1111,0.0005,1.0,358,0,,,,,,,,0.8
100k,100000,image,data\raw\fashion-dataset\images\16427.jpg,2,6262.134,0.16,21.8984,21.5589,0,0.0,123.7436,123.6108,0.1111,0.0005,1.0,63.46,15.76,0.5781,0.1199,0.1111,0.0005,1.0,358,0,,,,,,,,0.8
100k,100000,image,data\raw\fashion-dataset\images\16427.jpg,3,6290.634,0.16,20.7227,21.5589,0,0.0,123.7436,123.6108,0.1111,0.0005,1.0,63.659,15.71,0.4062,0.1552,0.1111,0.0005,1.0,358,0,,,,,,,,0.8
100k,100000,image,data\raw\fashion-dataset\images\14512.jpg,1,9608.509,0.1,22.9844,21.6051,0,0.0,123.7436,123.6108,0.6667,0.0041,1.0,101.461,9.86,0.4648,0.1279,0.6667,0.0041,1.0,796,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\14512.jpg,2,9040.04,0.11,22.4609,21.6051,0,0.0,123.7436,123.6108,0.6667,0.0041,1.0,60.152,16.62,0.4531,0.128,0.6667,0.0041,1.0,796,0,,,,,,,,1.0
100k,100000,image,data\raw\fashion-dataset\images\14512.jpg,3,9073.641,0.11,16.1875,21.6052,0,0.0,123.7436,123.6108,0.6667,0.0041,1.0,58.378,17.13,0.4414,0.1283,0.6667,0.0041,1.0,796,0,,,,,,,,1.0
