scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_precision,lado_a_recall,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_io_shared_hit,lado_b_io_shared_read,overlap_at_k
100k,100000,image,data\raw\fashion-dataset\images\18798.jpg,1,12464.56,0.08,19.5859,21.5909,0.2222,0.0049,1680.641,0.6,6.4102,0.0972,0.2222,0.0049,1091,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\18798.jpg,2,9988.338,0.1,16.5156,21.5907,0.2222,0.0049,80.021,12.5,5.9375,0.0979,0.2222,0.0049,1091,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\18798.jpg,3,10179.664,0.1,20.207,21.5971,0.2222,0.0049,71.803,13.93,5.3203,0.0963,0.2222,0.0049,1091,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\19933.jpg,1,7836.986,0.13,21.3203,21.6017,0.0,0.0,673.32,1.49,7.3633,0.1702,0.0,0.0,668,484,0.3
100k,100000,image,data\raw\fashion-dataset\images\19933.jpg,2,7563.125,0.13,20.6016,21.6018,0.0,0.0,59.287,16.87,6.8672,0.1677,0.0,0.0,1152,0,0.3
100k,100000,image,data\raw\fashion-dataset\images\19933.jpg,3,6604.032,0.15,22.4336,21.6015,0.0,0.0,52.792,18.94,6.5586,0.1675,0.0,0.0,1152,0,0.3
100k,100000,image,data\raw\fashion-dataset\images\20165.jpg,1,4351.994,0.23,21.3086,21.5855,0.1111,0.0007,712.278,1.4,4.5664,0.0865,0.1111,0.0007,1152,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\20165.jpg,2,4250.284,0.24,16.7188,21.5839,0.1111,0.0007,48.21,20.74,5.3047,0.0871,0.1111,0.0007,1152,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\20165.jpg,3,4511.09,0.22,21.9805,21.5854,0.1111,0.0007,48.112,20.79,0.3008,0.0871,0.1111,0.0007,1152,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\20411.jpg,1,4745.578,0.21,20.3164,21.5132,0.1111,0.004,406.964,2.46,0.3828,0.0884,0.1111,0.004,1152,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\20411.jpg,2,4942.33,0.2,20.3281,21.5066,0.1111,0.004,42.691,23.42,0.3086,0.0883,0.1111,0.004,1152,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\20411.jpg,3,4520.037,0.22,20.3945,21.5133,0.1111,0.004,42.171,23.71,0.3477,0.1233,0.1111,0.004,1152,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\15185.jpg,1,8702.244,0.11,19.2109,21.6015,0.1111,0.004,348.751,2.87,0.3984,0.1909,0.1111,0.004,792,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\15185.jpg,2,10087.068,0.1,21.3164,21.6015,0.1111,0.004,75.89,13.18,0.4727,0.1903,0.1111,0.004,792,0,1.0
100k,100000,image,data\raw\fashion-dataset\images\15185.jpg,3,11212.918,0.09,7.1133,21.6017,0.1111,0.004,71.179,14.05,0.4102,0.1905,0.1111,0.004,792,0,1.0
