scale,real_chunks,modality,query,run,lado_a_latencia_ms,lado_a_qps,lado_a_ram_delta_mb,lado_a_mem_pico_mb,lado_a_io_reads,lado_a_io_read_mb,lado_a_io_load_mb,lado_a_index_mb,lado_a_precision,lado_a_recall,lado_a_rr,lado_b_latencia_ms,lado_b_qps,lado_b_ram_delta_mb,lado_b_mem_pico_mb,lado_b_precision,lado_b_recall,lado_b_rr,lado_b_io_shared_hit,lado_b_io_shared_read,lado_b_gist_latencia_ms,lado_b_gist_qps,lado_b_gist_ram_delta_mb,lado_b_gist_mem_pico_mb,lado_b_gist_io_shared_hit,lado_b_gist_io_shared_read,lado_b_gist_rr,overlap_at_k
100k,100000,audio,data\raw\fma_small\038\038895.mp3,1,1.489,671.64,0.2031,0.2237,0,0.0,1.1551,0.8823,1.0,0.013,1.0,14.258,70.14,0.0195,0.0616,0.8889,0.0115,1.0,454,0,,,,,,,,0.7
100k,100000,audio,data\raw\fma_small\038\038895.mp3,2,1.152,868.36,0.0,0.2237,0,0.0,1.1551,0.8823,1.0,0.013,1.0,9.865,101.37,0.0,0.0624,0.8889,0.0115,1.0,454,0,,,,,,,,0.7
100k,100000,audio,data\raw\fma_small\038\038895.mp3,3,1.229,813.67,0.0,0.2237,0,0.0,1.1551,0.8823,1.0,0.013,1.0,8.746,114.34,0.0,0.0611,0.8889,0.0115,1.0,454,0,,,,,,,,0.7
100k,100000,audio,data\raw\fma_small\076\076363.mp3,1,3.59,278.54,0.0039,0.6716,0,0.0,1.1551,0.8823,0.0,0.0,1.0,10.806,92.54,0.0,0.0632,0.1111,0.0037,1.0,573,0,,,,,,,,0.5
100k,100000,audio,data\raw\fma_small\076\076363.mp3,2,4.02,248.77,0.0078,0.6716,0,0.0,1.1551,0.8823,0.0,0.0,1.0,10.737,93.14,0.0,0.061,0.1111,0.0037,1.0,573,0,,,,,,,,0.5
100k,100000,audio,data\raw\fma_small\076\076363.mp3,3,4.201,238.04,0.0,0.6716,0,0.0,1.1551,0.8823,0.0,0.0,1.0,8.722,114.65,-0.0039,0.0611,0.1111,0.0037,1.0,573,0,,,,,,,,0.5
100k,100000,audio,data\raw\fma_small\056\056646.mp3,1,5.755,173.76,0.0039,0.8733,0,0.0,1.1551,0.8823,0.4444,0.0066,1.0,9.379,106.62,0.0,0.061,0.2222,0.0033,1.0,363,0,,,,,,,,0.2
100k,100000,audio,data\raw\fma_small\056\056646.mp3,2,4.642,215.43,0.0,0.8733,0,0.0,1.1551,0.8823,0.4444,0.0066,1.0,9.212,108.55,0.0,0.0608,0.2222,0.0033,1.0,363,0,,,,,,,,0.2
100k,100000,audio,data\raw\fma_small\056\056646.mp3,3,4.931,202.8,0.0,0.8733,0,0.0,1.1551,0.8823,0.4444,0.0066,1.0,9.428,106.06,0.0,0.0634,0.2222,0.0033,1.0,363,0,,,,,,,,0.2
100k,100000,audio,data\raw\fma_small\108\108865.mp3,1,3.344,299.03,0.0,0.4599,0,0.0,1.1551,0.8823,0.2222,0.0026,1.0,9.355,106.9,0.0,0.0609,0.0,0.0,1.0,580,0,,,,,,,,0.7
100k,100000,audio,data\raw\fma_small\108\108865.mp3,2,3.11,321.57,0.0,0.4599,0,0.0,1.1551,0.8823,0.2222,0.0026,1.0,11.203,89.26,0.0,0.0608,0.0,0.0,1.0,580,0,,,,,,,,0.7
100k,100000,audio,data\raw\fma_small\108\108865.mp3,3,2.195,455.54,0.0,0.4599,0,0.0,1.1551,0.8823,0.2222,0.0026,1.0,9.82,101.84,0.0,0.096,0.0,0.0,1.0,580,0,,,,,,,,0.7
100k,100000,audio,data\raw\fma_small\105\105720.mp3,1,5.299,188.7,0.0,0.6592,0,0.0,1.1551,0.8823,0.1111,0.0014,1.0,9.122,109.63,0.0,0.0608,0.0,0.0,1.0,372,0,,,,,,,,0.4
100k,100000,audio,data\raw\fma_small\105\105720.mp3,2,4.051,246.86,0.0,0.6592,0,0.0,1.1551,0.8823,0.1111,0.0014,1.0,9.021,110.86,0.0,0.0608,0.0,0.0,1.0,372,0,,,,,,,,0.4
100k,100000,audio,data\raw\fma_small\105\105720.mp3,3,4.867,205.45,0.0,0.6592,0,0.0,1.1551,0.8823,0.1111,0.0014,1.0,8.421,118.75,0.0,0.0608,0.0,0.0,1.0,372,0,,,,,,,,0.4
